,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side
3629934,2018030416_1,2018030416,1,,,Game Scheduled,,,,1,REGULAR,0,1200,2019-06-09 20:51:57,0,0,Game Scheduled,,,
3629935,2018030416_2,2018030416,2,,,Period Ready,,,,1,REGULAR,0,1200,2019-06-10 00:18:26,0,0,Period Ready,,,
3629936,2018030416_3,2018030416,3,,,Period Start,,,,1,REGULAR,0,1200,2019-06-10 00:20:52,0,0,Period Start,,,
3629937,2018030416_4,2018030416,4,19.0,6.0,Faceoff,,0.0,0.0,1,REGULAR,0,1200,2019-06-10 00:20:52,0,0,Ryan O'Reilly faceoff won against Sean Kuraly,0.0,0.0,left
3629938,2018030416_5,2018030416,5,6.0,19.0,Missed Shot,,-64.0,3.0,1,REGULAR,16,1184,2019-06-10 00:22:01,0,0,Noel Acciari - Wide of Net,64.0,-3.0,right
3629939,2018030416_6,2018030416,6,,,Stoppage,,,,1,REGULAR,41,1159,2019-06-10 00:22:28,0,0,Puck in Crowd,,,
3629940,2018030416_7,2018030416,7,19.0,6.0,Faceoff,,69.0,22.0,1,REGULAR,41,1159,2019-06-10 00:22:32,0,0,Brayden Schenn faceoff won against Patrice Bergeron,69.0,22.0,left
3629941,2018030416_8,2018030416,8,6.0,19.0,Shot,Wrist Shot,-76.0,37.0,1,REGULAR,51,1149,2019-06-10 00:23:03,0,0,Patrice Bergeron Wrist Shot saved by Jordan Binnington,76.0,-37.0,right
3629942,2018030416_9,2018030416,9,,,Stoppage,,,,1,REGULAR,52,1148,2019-06-10 00:23:03,0,0,Goalie Stopped,,,
3629943,2018030416_10,2018030416,10,19.0,6.0,Faceoff,,-69.0,22.0,1,REGULAR,52,1148,2019-06-10 00:23:17,0,0,Oskar Sundqvist faceoff won against Jake DeBrusk,-69.0,22.0,left
3629944,2018030416_11,2018030416,11,6.0,19.0,Hit,,-97.0,28.0,1,REGULAR,56,1144,2019-06-10 00:23:43,0,0,Jake DeBrusk hit Oskar Sundqvist,97.0,-28.0,right
3629945,2018030416_12,2018030416,12,19.0,6.0,Blocked Shot,,-61.0,0.0,1,REGULAR,65,1135,2019-06-10 00:23:51,0,0,Carl Gunnarsson,-61.0,0.0,left
3629946,2018030416_13,2018030416,13,19.0,6.0,Hit,,98.0,-30.0,1,REGULAR,82,1118,2019-06-10 00:24:08,0,0,Oskar Sundqvist hit Brandon Carlo,98.0,-30.0,left
3629947,2018030416_14,2018030416,14,19.0,6.0,Hit,,-97.0,2.0,1,REGULAR,100,1100,2019-06-10 00:24:26,0,0,Sammy Blais hit Danton Heinen,-97.0,2.0,left
3629948,2018030416_15,2018030416,15,19.0,6.0,Shot,Backhand,78.0,6.0,1,REGULAR,132,1068,2019-06-10 00:24:59,0,0,Tyler Bozak Backhand saved by Tuukka Rask,78.0,6.0,left
3629949,2018030416_16,2018030416,16,,,Stoppage,,,,1,REGULAR,133,1067,2019-06-10 00:25:01,0,0,Goalie Stopped,,,
3629950,2018030416_17,2018030416,17,19.0,6.0,Faceoff,,69.0,22.0,1,REGULAR,133,1067,2019-06-10 00:25:21,0,0,Ryan O'Reilly faceoff won against Sean Kuraly,69.0,22.0,left
3629951,2018030416_18,2018030416,18,6.0,19.0,Blocked Shot,,69.0,-14.0,1,REGULAR,138,1062,2019-06-10 00:25:35,0,0,Joakim Nordstrom,-69.0,14.0,right
3629952,2018030416_19,2018030416,19,6.0,19.0,Hit,,83.0,-42.0,1,REGULAR,141,1059,2019-06-10 00:25:39,0,0,Joakim Nordstrom hit David Perron,-83.0,42.0,right
3629953,2018030416_20,2018030416,20,19.0,6.0,Hit,,54.0,-42.0,1,REGULAR,150,1050,2019-06-10 00:25:47,0,0,David Perron hit Joakim Nordstrom,54.0,-42.0,left
3629954,2018030416_21,2018030416,21,6.0,19.0,Hit,,55.0,-40.0,1,REGULAR,159,1041,2019-06-10 00:25:56,0,0,Zdeno Chara hit David Perron,-55.0,40.0,right
3629955,2018030416_22,2018030416,22,6.0,19.0,Penalty,Delaying Game - Puck over glass,92.0,-38.0,1,REGULAR,162,1038,2019-06-10 00:26:11,0,0,Sean Kuraly Delaying Game - Puck over glass,-92.0,38.0,right
3629956,2018030416_23,2018030416,23,19.0,6.0,Faceoff,,69.0,-22.0,1,REGULAR,162,1038,2019-06-10 00:26:25,0,0,Ryan O'Reilly faceoff won against Patrice Bergeron,69.0,-22.0,left
3629957,2018030416_24,2018030416,24,19.0,6.0,Missed Shot,,84.0,-8.0,1,REGULAR,170,1030,2019-06-10 00:26:44,0,0,Pat Maroon - Wide of Net,84.0,-8.0,left
3629958,2018030416_25,2018030416,25,19.0,6.0,Shot,Wrist Shot,39.0,3.0,1,REGULAR,230,970,2019-06-10 00:27:44,0,0,Vince Dunn Wrist Shot saved by Tuukka Rask,39.0,3.0,left
3629959,2018030416_26,2018030416,26,19.0,6.0,Shot,Wrist Shot,75.0,2.0,1,REGULAR,233,967,2019-06-10 00:27:50,0,0,Brayden Schenn Wrist Shot saved by Tuukka Rask,75.0,2.0,left
